municipality,municipality_id,district,district_id,year,typology,layout,sale_rate,lable,shape_Length,shape_Area
Abu Dhabi City,41,Yas Island,1330,2019,Apartment / Duplex,,13600.000000000000000,12k-16k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2019,Villa / Townhouse,,9333.000000000000000,8k-12k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2019,Villa Plot,,2716.000000000000000,2k-3k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2020,Apartment / Duplex,,13422.000000000000000,9k-16k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2020,Villa / Townhouse,,9106.000000000000000,8k-12k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2020,Villa Plot,,2744.000000000000000,2k-3k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2021,Apartment / Duplex,,12940.000000000000000,10k-17k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2021,Villa / Townhouse,,9420.000000000000000,8k-13k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2021,Villa Plot,,2735.000000000000000,2k-3k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2022,Apartment / Duplex,,13246.000000000000000,11k-17k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2022,Villa / Townhouse,,9923.000000000000000,8k-16k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2022,Villa Plot,,2998.000000000000000,3k-4k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2023,Apartment / Duplex,,13593.000000000000000,10k-19k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2023,Villa / Townhouse,,10689.000000000000000,8k-16k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2023,Villa Plot,,3314.000000000000000,3k-4k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2024,Apartment / Duplex,,15139.000000000000000,8k-23k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2024,Villa / Townhouse,,11080.000000000000000,8k-18k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2024,Villa Plot,,3589.000000000000000,3k-5k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2025,Apartment / Duplex,,16377.000000000000000,8k-33k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2025,Villa / Townhouse,,12319.000000000000000,8k-20k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Yas Island,1330,2025,Villa Plot,,3551.000000000000000,3k-5k,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,Al Reem Island,57,2019,Apartment / Duplex,,13865.000000000000000,8k-18k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2020,Apartment / Duplex,,13078.000000000000000,9k-19k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2021,Apartment / Duplex,,11699.000000000000000,8k-17k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2022,Apartment / Duplex,,11214.000000000000000,8k-18k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2022,Villa / Townhouse,,11264.000000000000000,11k-12k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2023,Apartment / Duplex,,11428.000000000000000,8k-18k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2023,Villa / Townhouse,,11355.000000000000000,11k-12k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2024,Apartment / Duplex,,11738.000000000000000,7k-19k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2024,Villa / Townhouse,,11392.000000000000000,11k-12k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2025,Apartment / Duplex,,13721.000000000000000,8k-27k,14025.183842866346822,12889332.855498872697353
Abu Dhabi City,41,Al Reem Island,57,2025,Villa / Townhouse,,11804.000000000000000,11k-16k,14025.183842866346822,12889332.855498872697353
